 # t  V  n  m  h  a  b  J
    459.84000000    -60.32084794      0.43951430      0.02635039      0.74361938      0.59250374      0.11573497     15.00000000
    459.85000000    -60.29477343      0.43887970      0.02643693      0.74447394      0.59238330      0.11583619     15.00000000
    459.86000000    -60.26879205      0.43824835      0.02652343      0.74532118      0.59226538      0.11593578     15.00000000
    459.87000000    -60.24290392      0.43762021      0.02660990      0.74616114      0.59214994      0.11603373     15.00000000
    459.88000000    -60.21710915      0.43699530      0.02669633      0.74699390      0.59203697      0.11613008     15.00000000
    459.89000000    -60.19140782      0.43637358      0.02678272      0.74781950      0.59192644      0.11622482     15.00000000
    459.90000000    -60.16580003      0.43575504      0.02686907      0.74863800      0.59181831      0.11631798     15.00000000
    459.91000000    -60.14028585      0.43513969      0.02695537      0.74944945      0.59171257      0.11640955     15.00000000
    459.92000000    -60.11486533      0.43452749      0.02704162      0.75025392      0.59160918      0.11649956     15.00000000
    459.93000000    -60.08953853      0.43391844      0.02712782      0.75105145      0.59150813      0.11658801     15.00000000
    459.94000000    -60.06430550      0.43331252      0.02721397      0.75184209      0.59140937      0.11667491     15.00000000
    459.95000000    -60.03916625      0.43270972      0.02730007      0.75262592      0.59131290      0.11676028     15.00000000
    459.96000000    -60.01412081      0.43211003      0.02738610      0.75340296      0.59121867      0.11684412     15.00000000
    459.97000000    -59.98916918      0.43151344      0.02747208      0.75417329      0.59112667      0.11692644     15.00000000
    459.98000000    -59.96431137      0.43091992      0.02755799      0.75493694      0.59103687      0.11700727     15.00000000
    459.99000000    -59.93954736      0.43032948      0.02764384      0.75569398      0.59094925      0.11708660     15.00000000
    460.00000000    -59.91487712      0.42974209      0.02772962      0.75644445      0.59086378      0.11716445     15.00000000
    460.01000000    -59.89030063      0.42915775      0.02781533      0.75718841      0.59078043      0.11724083     15.00000000
    460.02000000    -59.86581785      0.42857643      0.02790098      0.75792590      0.59069918      0.11731574     15.00000000
    460.03000000    -59.84142871      0.42799813      0.02798655      0.75865698      0.59062002      0.11738921     15.00000000
    460.04000000    -59.81713316      0.42742284      0.02807204      0.75938169      0.59054290      0.11746124     15.00000000
    460.05000000    -59.79293113      0.42685053      0.02815746      0.76010009      0.59046782      0.11753184     15.00000000
    460.06000000    -59.76882254      0.42628121      0.02824279      0.76081222      0.59039474      0.11760102     15.00000000
    460.07000000    -59.74480730      0.42571485      0.02832805      0.76151813      0.59032365      0.11766879     15.00000000
    460.08000000    -59.72088530      0.42515145      0.02841322      0.76221787      0.59025452      0.11773516     15.00000000
    460.09000000    -59.69705644      0.42459098      0.02849831      0.76291149      0.59018732      0.11780014     15.00000000
    460.10000000    -59.67332061      0.42403345      0.02858331      0.76359903      0.59012203      0.11786375     15.00000000
    460.11000000    -59.64967768      0.42347882      0.02866822      0.76428054      0.59005864      0.11792599     15.00000000
