 # t  V  n  m  h  a  b  J
      2.29000000    -67.97515158      0.15584773      0.01007386      0.96573605      0.54043435      0.28851572      0.00000000
      2.30000000    -67.97515499      0.15584786      0.01007385      0.96573726      0.54043438      0.28851579      0.00000000
      2.31000000    -67.97515838      0.15584799      0.01007385      0.96573847      0.54043441      0.28851585      0.00000000
      2.32000000    -67.97516174      0.15584812      0.01007384      0.96573967      0.54043445      0.28851592      0.00000000
      2.33000000    -67.97516509      0.15584825      0.01007384      0.96574086      0.54043448      0.28851599      0.00000000
      2.34000000    -67.97516842      0.15584838      0.01007383      0.96574204      0.54043451      0.28851606      0.00000000
      2.35000000    -67.97517173      0.15584851      0.01007383      0.96574322      0.54043454      0.28851612      0.00000000
      2.36000000    -67.97517503      0.15584863      0.01007382      0.96574438      0.54043457      0.28851619      0.00000000
      2.37000000    -67.97517830      0.15584876      0.01007382      0.96574554      0.54043460      0.28851626      0.00000000
      2.38000000    -67.97518156      0.15584889      0.01007382      0.96574668      0.54043463      0.28851632      0.00000000
      2.39000000    -67.97518480      0.15584901      0.01007381      0.96574782      0.54043466      0.28851639      0.00000000
      2.40000000    -67.97518802      0.15584914      0.01007381      0.96574895      0.54043469      0.28851646      0.00000000
      2.41000000    -67.97519122      0.15584926      0.01007380      0.96575007      0.54043472      0.28851653      0.00000000
      2.42000000    -67.97519440      0.15584938      0.01007380      0.96575119      0.54043475      0.28851659      0.00000000
      2.43000000    -67.97519757      0.15584951      0.01007379      0.96575229      0.54043478      0.28851666      0.00000000
      2.44000000    -67.97520072      0.15584963      0.01007379      0.96575339      0.54043480      0.28851673      0.00000000
      2.45000000    -67.97520385      0.15584975      0.01007379      0.96575448      0.54043483      0.28851680      0.00000000
      2.46000000    -67.97520696      0.15584987      0.01007378      0.96575556      0.54043486      0.28851686      0.00000000
      2.47000000    -67.97521005      0.15585000      0.01007378      0.96575664      0.54043488      0.28851693      0.00000000
      2.48000000    -67.97521313      0.15585012      0.01007377      0.96575770      0.54043491      0.28851700      0.00000000
      2.49000000    -67.97521619      0.15585024      0.01007377      0.96575876      0.54043494      0.28851706      0.00000000
      2.50000000    -67.97521924      0.15585036      0.01007377      0.96575981      0.54043496      0.28851713      0.00000000
      2.51000000    -67.97522226      0.15585048      0.01007376      0.96576085      0.54043499      0.28851720      0.00000000
      2.52000000    -67.97522527      0.15585060      0.01007376      0.96576189      0.54043501      0.28851727      0.00000000
      2.53000000    -67.97522826      0.15585071      0.01007375      0.96576291      0.54043504      0.28851733      0.00000000
      2.54000000    -67.97523124      0.15585083      0.01007375      0.96576393      0.54043506      0.28851740      0.00000000
      2.55000000    -67.97523420      0.15585095      0.01007375      0.96576494      0.54043508      0.28851747      0.00000000
      2.56000000    -67.97523714      0.15585107      0.01007374      0.96576595      0.54043511      0.28851754      0.00000000
      2.57000000    -67.97524007      0.15585118      0.01007374      0.96576695      0.54043513      0.28851760      0.00000000
      2.58000000    -67.97524298      0.15585130      0.01007373      0.96576794      0.54043515      0.28851767      0.00000000
      2.59000000    -67.97524587      0.15585141      0.01007373      0.96576892      0.54043517      0.28851774      0.00000000
      2.60000000    -67.97524875      0.15585153      0.01007373      0.96576989      0.54043520      0.28851780      0.00000000
      2.61000000    -67.97525161      0.15585164      0.01007372      0.96577086      0.54043522      0.28851787      0.00000000
      2.62000000    -67.97525446      0.15585176      0.01007372      0.96577182      0.54043524      0.28851794      0.00000000
      2.63000000    -67.97525729      0.15585187      0.01007371      0.96577278      0.54043526      0.28851801      0.00000000
      2.64000000    -67.97526010      0.15585198      0.01007371      0.96577372      0.54043528      0.28851807      0.00000000
      2.65000000    -67.97526290      0.15585210      0.01007371      0.96577466      0.54043530      0.28851814      0.00000000
      2.66000000    -67.97526568      0.15585221      0.01007370      0.96577560      0.54043532      0.28851821      0.00000000
      2.67000000    -67.97526845      0.15585232      0.01007370      0.96577652      0.54043534      0.28851828      0.00000000
      2.68000000    -67.97527121      0.15585243      0.01007370      0.96577744      0.54043536      0.28851834      0.00000000
      2.69000000    -67.97527394      0.15585254      0.01007369      0.96577836      0.54043538      0.28851841      0.00000000
      2.70000000    -67.97527667      0.15585265      0.01007369      0.96577926      0.54043540      0.28851848      0.00000000
      2.71000000    -67.97527938      0.15585276      0.01007369      0.96578016      0.54043541      0.28851854      0.00000000
      2.72000000    -67.97528207      0.15585287      0.01007368      0.96578106      0.54043543      0.28851861      0.00000000
      2.73000000    -67.97528475      0.15585298      0.01007368      0.96578194      0.54043545      0.28851868      0.00000000
      2.74000000    -67.97528741      0.15585309      0.01007367      0.96578282      0.54043547      0.28851875      0.00000000
      2.75000000    -67.97529006      0.15585320      0.01007367      0.96578370      0.54043549      0.28851881      0.00000000
      2.76000000    -67.97529270      0.15585330      0.01007367      0.96578456      0.54043550      0.28851888      0.00000000
